country,state,year,variable,generation_gwh,share_of_generation_pct,capacity_mw,emissions_ktco2,share_of_emissions_pct
India,Arunachal Pradesh,2024,Coal,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Gas,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Hydro,4295.97,99.97,1255.61,103.1,99.94
India,Arunachal Pradesh,2024,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Other Renewables,0.0,0.0,,0.0,0.0
India,Arunachal Pradesh,2024,Renewables,4297.15,100.0,1270.46,103.16,100.0
India,Arunachal Pradesh,2024,Solar,1.18,0.03,14.85,0.06,0.06
India,Arunachal Pradesh,2024,Wind,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Wind and solar,1.18,0.03,14.85,0.06,0.06
India,Assam,2019,Bioenergy,0.0,0.0,2.0,0.0,0.0
India,Assam,2019,Clean,1455.97,18.3,427.34,35.1,0.8
India,Assam,2019,Coal,3653.01,45.93,750.0,2995.47,67.7
India,Assam,2019,Fossil,6498.16,81.7,1369.21,4389.59,99.21
India,Assam,2019,Gas,2845.15,35.77,619.21,1394.12,31.51
India,Assam,2019,Hydro,1449.59,18.22,384.11,34.79,0.79
India,Assam,2019,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Assam,2019,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Assam,2019,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Assam,2019,Renewables,1455.97,18.3,427.34,35.1,0.8
India,Assam,2019,Solar,6.38,0.08,41.23,0.31,0.01
India,Assam,2019,Wind,0.0,0.0,0.0,0.0,0.0
India,Assam,2019,Wind and solar,6.38,0.08,41.23,0.31,0.01
India,Assam,2020,Bioenergy,0.0,0.0,2.0,0.0,0.0
India,Assam,2020,Clean,294.69,4.88,429.1,7.21,0.19
India,Assam,2020,Coal,3131.0,51.88,750.0,2567.42,66.63
India,Assam,2020,Fossil,5740.37,95.12,1370.35,3846.01,99.81
India,Assam,2020,Gas,2609.37,43.24,620.35,1278.59,33.18
India,Assam,2020,Hydro,288.98,4.79,384.11,6.94,0.18
India,Assam,2020,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Assam,2020,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Assam,2020,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Assam,2020,Renewables,294.69,4.88,429.1,7.21,0.19
India,Assam,2020,Solar,5.71,0.09,42.99,0.27,0.01
India,Assam,2020,Wind,0.0,0.0,0.0,0.0,0.0
India,Assam,2020,Wind and solar,5.71,0.09,42.99,0.27,0.01
India,Assam,2021,Bioenergy,0.0,0.0,2.0,0.0,0.0
India,Assam,2021,Clean,805.41,10.0,454.68,20.82,0.43
India,Assam,2021,Coal,3976.42,49.38,750.0,3260.66,66.76
India,Assam,2021,Fossil,7246.69,89.99,1370.35,4863.09,99.57
India,Assam,2021,Gas,3270.27,40.61,620.35,1602.43,32.81
India,Assam,2021,Hydro,743.37,9.23,384.11,17.84,0.37
India,Assam,2021,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Assam,2021,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Assam,2021,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Assam,2021,Renewables,805.41,10.0,454.68,20.82,0.43
India,Assam,2021,Solar,62.04,0.77,68.57,2.98,0.06
India,Assam,2021,Wind,0.0,0.0,0.0,0.0,0.0
India,Assam,2021,Wind and solar,62.04,0.77,68.57,2.98,0.06
India,Assam,2022,Bioenergy,0.0,0.0,2.0,0.0,0.0
India,Assam,2022,Clean,721.52,7.94,534.03,21.66,0.38
India,Assam,2022,Coal,4896.74,53.88,750.0,4015.33,69.99
India,Assam,2022,Fossil,8366.68,92.06,1347.35,5715.6,99.63
India,Assam,2022,Gas,3469.94,38.18,597.35,1700.27,29.64
India,Assam,2022,Hydro,540.55,5.95,384.11,12.97,0.23
India,Assam,2022,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Assam,2022,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Assam,2022,Other Renewables,0.0,0.0,,0.0,0.0
India,Assam,2022,Renewables,721.52,7.94,534.03,21.66,0.38
India,Assam,2022,Solar,180.97,1.99,147.92,8.69,0.15
India,Assam,2022,Wind,0.0,0.0,0.0,0.0,0.0
India,Assam,2022,Wind and solar,180.97,1.99,147.92,8.69,0.15
India,Assam,2023,Bioenergy,0.0,0.0,2.0,0.0,0.0
India,Assam,2023,Clean,934.78,9.88,541.92,29.7,0.51
India,Assam,2023,Coal,5139.81,54.32,750.0,4214.64,71.38
India,Assam,2023,Fossil,8527.51,90.12,1347.35,5874.61,99.49
India,Assam,2023,Gas,3387.7,35.8,597.35,1659.97,28.11
India,Assam,2023,Hydro,631.74,6.68,384.11,15.16,0.26
India,Assam,2023,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Assam,2023,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Assam,2023,Other Renewables,0.39,0.0,,0.01,0.0
India,Assam,2023,Renewables,934.78,9.88,541.92,29.7,0.51
India,Assam,2023,Solar,302.65,3.2,155.81,14.53,0.25
India,Assam,2023,Wind,0.0,0.0,0.0,0.0,0.0
India,Assam,2023,Wind and solar,302.65,3.2,155.81,14.53,0.25
India,Assam,2024,Bioenergy,0.0,0.0,2.0,0.0,0.0
India,Assam,2024,Clean,1428.16,14.84,571.55,41.65,0.74
India,Assam,2024,Coal,4811.53,49.97,750.0,3945.45,69.86
India,Assam,2024,Fossil,8200.71,85.17,1347.35,5606.15,99.26
India,Assam,2024,Gas,3389.18,35.2,597.35,1660.7,29.4
India,Assam,2024,Hydro,1120.63,11.64,384.11,26.9,0.48
India,Assam,2024,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Assam,2024,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Assam,2024,Other Renewables,0.62,0.01,,0.02,0.0
India,Assam,2024,Renewables,1428.16,14.84,571.55,41.65,0.74
India,Assam,2024,Solar,306.91,3.19,185.44,14.73,0.26
India,Assam,2024,Wind,0.0,0.0,0.0,0.0,0.0
India,Assam,2024,Wind and solar,306.91,3.19,185.44,14.73,0.26
India,Bihar,2019,Bioenergy,268.48,0.76,121.2,61.75,0.21
India,Bihar,2019,Clean,459.62,1.3,341.25,70.5,0.24
India,Bihar,2019,Coal,34992.35,98.7,6390.0,28693.73,99.75
India,Bihar,2019,Fossil,34992.35,98.7,6390.0,28693.73,99.75
India,Bihar,2019,Gas,0.0,0.0,0.0,0.0,0.0
India,Bihar,2019,Hydro,17.55,0.05,70.7,0.42,0.0
India,Bihar,2019,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Bihar,2019,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Bihar,2019,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Bihar,2019,Renewables,459.62,1.3,341.25,70.5,0.24
India,Bihar,2019,Solar,173.59,0.49,149.35,8.33,0.03
India,Bihar,2019,Wind,0.0,0.0,0.0,0.0,0.0
India,Bihar,2019,Wind and solar,173.59,0.49,149.35,8.33,0.03
India,Bihar,2020,Bioenergy,109.74,0.33,124.7,25.24,0.09
India,Bihar,2020,Clean,320.46,0.97,352.81,34.3,0.12
India,Bihar,2020,Coal,32460.22,99.02,6390.0,26617.38,99.87
India,Bihar,2020,Fossil,32460.22,99.02,6390.0,26617.38,99.87
India,Bihar,2020,Gas,0.0,0.0,0.0,0.0,0.0
India,Bihar,2020,Hydro,44.01,0.13,70.7,1.06,0.0
India,Bihar,2020,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Bihar,2020,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Bihar,2020,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Bihar,2020,Renewables,320.46,0.97,352.81,34.3,0.12
India,Bihar,2020,Solar,166.71,0.51,157.41,8.0,0.03
India,Bihar,2020,Wind,0.0,0.0,0.0,0.0,0.0
India,Bihar,2020,Wind and solar,166.71,0.51,157.41,8.0,0.03
India,Bihar,2021,Bioenergy,31.07,0.08,125.7,7.15,0.02
India,Bihar,2021,Clean,189.01,0.46,386.97,14.62,0.04
India,Bihar,2021,Coal,41197.35,99.54,7960.0,33781.83,99.96
India,Bihar,2021,Fossil,41197.35,99.54,7960.0,33781.83,99.96
India,Bihar,2021,Gas,0.0,0.0,0.0,0.0,0.0
India,Bihar,2021,Hydro,4.51,0.01,70.7,0.11,0.0
India,Bihar,2021,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Bihar,2021,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Bihar,2021,Other Renewables,0.0,0.0,0.0,0.0,0.0
